2019-04-13 10:22:50:	epoch 8 done, cost time:0.55
2019-04-13 10:22:50:	epoch 9, global step:9, loss 0.0011 time:0.05
2019-04-13 10:22:50:	epoch 9 done, cost time:0.60
2019-04-13 10:22:50:	epoch 10, global step:10, loss 0.0011 time:0.08
2019-04-13 10:22:50:	epoch 10 done, cost time:0.67
2019-04-13 10:24:02:	epoch 1, global step:1, loss 0.0010 time:0.21
2019-04-13 10:24:02:	epoch 1 done, cost time:0.21
2019-04-13 10:24:02:	epoch 2, global step:2, loss 0.0010 time:0.45
2019-04-13 10:24:02:	epoch 2 done, cost time:0.67
2019-04-13 10:24:03:	epoch 3, global step:3, loss 0.0010 time:0.33
2019-04-13 10:24:03:	epoch 3 done, cost time:1.00
2019-04-13 10:24:03:	epoch 4, global step:4, loss 0.0010 time:0.29
2019-04-13 10:24:03:	epoch 4 done, cost time:1.30
2019-04-13 10:24:03:	epoch 5, global step:5, loss 0.0010 time:0.40
2019-04-13 10:24:03:	epoch 5 done, cost time:1.69
2019-04-13 10:24:04:	epoch 6, global step:6, loss 0.0010 time:0.41
2019-04-13 10:24:04:	epoch 6 done, cost time:2.11
2019-04-13 10:24:04:	epoch 7, global step:7, loss 0.0009 time:0.32
2019-04-13 10:24:04:	epoch 7 done, cost time:2.43
2019-04-13 10:24:04:	epoch 8, global step:8, loss 0.0009 time:0.01
2019-04-13 10:24:04:	epoch 8 done, cost time:2.45
2019-04-13 10:24:04:	epoch 9, global step:9, loss 0.0009 time:0.01
2019-04-13 10:24:04:	epoch 9 done, cost time:2.46
2019-04-13 10:24:04:	epoch 10, global step:10, loss 0.0009 time:0.18
2019-04-13 10:24:04:	epoch 10 done, cost time:2.64
2019-04-13 22:59:03:	epoch 1, global step:1, loss 0.0007 time:0.12
2019-04-13 22:59:03:	epoch 1 done, cost time:0.12
2019-04-13 22:59:03:	epoch 2, global step:2, loss 0.0006 time:0.08
2019-04-13 22:59:03:	epoch 2 done, cost time:0.20
2019-04-13 22:59:03:	epoch 3, global step:3, loss 0.0006 time:0.05
2019-04-13 22:59:03:	epoch 3 done, cost time:0.25
2019-04-13 22:59:04:	epoch 4, global step:4, loss 0.0006 time:0.08
2019-04-13 22:59:04:	epoch 4 done, cost time:0.33
2019-04-13 22:59:04:	epoch 5, global step:5, loss 0.0006 time:0.06
2019-04-13 22:59:04:	epoch 5 done, cost time:0.39
2019-04-13 22:59:04:	epoch 6, global step:6, loss 0.0005 time:0.07
2019-04-13 22:59:04:	epoch 6 done, cost time:0.46
2019-04-13 22:59:04:	epoch 7, global step:7, loss 0.0005 time:0.08
2019-04-13 22:59:04:	epoch 7 done, cost time:0.54
2019-04-13 22:59:04:	epoch 8, global step:8, loss 0.0005 time:0.05
2019-04-13 22:59:04:	epoch 8 done, cost time:0.60
2019-04-13 22:59:04:	epoch 9, global step:9, loss 0.0005 time:0.10
2019-04-13 22:59:04:	epoch 9 done, cost time:0.69
2019-04-13 22:59:04:	epoch 10, global step:10, loss 0.0005 time:0.03
2019-04-13 22:59:04:	epoch 10 done, cost time:0.73
2019-04-13 23:00:57:	epoch 1, global step:1, loss 0.0007 time:0.12
2019-04-13 23:00:57:	epoch 1 done, cost time:0.12
2019-04-13 23:00:58:	epoch 2, global step:2, loss 0.0006 time:0.07
2019-04-13 23:00:58:	epoch 2 done, cost time:0.19
2019-04-13 23:00:58:	epoch 3, global step:3, loss 0.0006 time:0.07
2019-04-13 23:00:58:	epoch 3 done, cost time:0.27
2019-04-13 23:00:58:	epoch 4, global step:4, loss 0.0006 time:0.09
2019-04-13 23:00:58:	epoch 4 done, cost time:0.36
2019-04-13 23:00:58:	epoch 5, global step:5, loss 0.0005 time:0.04
2019-04-13 23:00:58:	epoch 5 done, cost time:0.39
2019-04-13 23:00:58:	epoch 6, global step:6, loss 0.0005 time:0.09
2019-04-13 23:00:58:	epoch 6 done, cost time:0.49
2019-04-13 23:00:58:	epoch 7, global step:7, loss 0.0005 time:0.03
2019-04-13 23:00:58:	epoch 7 done, cost time:0.52
2019-04-13 23:00:58:	epoch 8, global step:8, loss 0.0005 time:0.09
2019-04-13 23:00:58:	epoch 8 done, cost time:0.61
2019-04-13 23:00:58:	epoch 9, global step:9, loss 0.0005 time:0.03
2019-04-13 23:00:58:	epoch 9 done, cost time:0.65
2019-04-13 23:00:58:	epoch 10, global step:10, loss 0.0005 time:0.09
2019-04-13 23:00:58:	epoch 10 done, cost time:0.74
2019-04-13 23:02:41:	epoch 1, global step:1, loss 0.0007 time:0.11
2019-04-13 23:02:41:	epoch 1 done, cost time:0.11
2019-04-13 23:02:41:	epoch 2, global step:2, loss 0.0006 time:0.05
2019-04-13 23:02:41:	epoch 2 done, cost time:0.17
2019-04-13 23:02:41:	epoch 3, global step:3, loss 0.0006 time:0.08
2019-04-13 23:02:41:	epoch 3 done, cost time:0.24
2019-04-13 23:02:41:	epoch 4, global step:4, loss 0.0006 time:0.07
2019-04-13 23:02:41:	epoch 4 done, cost time:0.31
2019-04-13 23:02:41:	epoch 5, global step:5, loss 0.0005 time:0.06
2019-04-13 23:02:41:	epoch 5 done, cost time:0.37
2019-04-13 23:02:41:	epoch 6, global step:6, loss 0.0005 time:0.09
2019-04-13 23:02:41:	epoch 6 done, cost time:0.47
2019-04-13 23:02:41:	epoch 7, global step:7, loss 0.0005 time:0.03
2019-04-13 23:02:41:	epoch 7 done, cost time:0.50
2019-04-13 23:02:41:	epoch 8, global step:8, loss 0.0005 time:0.07
2019-04-13 23:02:41:	epoch 8 done, cost time:0.57
2019-04-13 23:02:41:	epoch 9, global step:9, loss 0.0005 time:0.06
2019-04-13 23:02:41:	epoch 9 done, cost time:0.63
2019-04-13 23:02:41:	epoch 10, global step:10, loss 0.0005 time:0.09
2019-04-13 23:02:41:	epoch 10 done, cost time:0.73
2019-04-13 23:05:34:	epoch 1, global step:1, loss 0.0007 time:0.10
2019-04-13 23:05:34:	epoch 1 done, cost time:0.10
2019-04-13 23:05:34:	epoch 2, global step:2, loss 0.0006 time:0.06
2019-04-13 23:05:34:	epoch 2 done, cost time:0.16
2019-04-13 23:05:34:	epoch 3, global step:3, loss 0.0006 time:0.08
2019-04-13 23:05:34:	epoch 3 done, cost time:0.24
2019-04-13 23:05:34:	epoch 4, global step:4, loss 0.0006 time:0.08
2019-04-13 23:05:34:	epoch 4 done, cost time:0.32
2019-04-13 23:05:34:	epoch 5, global step:5, loss 0.0006 time:0.05
2019-04-13 23:05:34:	epoch 5 done, cost time:0.37
2019-04-13 23:05:34:	epoch 6, global step:6, loss 0.0005 time:0.08
2019-04-13 23:05:34:	epoch 6 done, cost time:0.45
2019-04-13 23:05:34:	epoch 7, global step:7, loss 0.0005 time:0.05
2019-04-13 23:05:34:	epoch 7 done, cost time:0.50
2019-04-13 23:05:34:	epoch 8, global step:8, loss 0.0005 time:0.09
2019-04-13 23:05:34:	epoch 8 done, cost time:0.59
2019-04-13 23:05:34:	epoch 9, global step:9, loss 0.0005 time:0.04
2019-04-13 23:05:34:	epoch 9 done, cost time:0.63
2019-04-13 23:05:34:	epoch 10, global step:10, loss 0.0005 time:0.09
2019-04-13 23:05:34:	epoch 10 done, cost time:0.72
2019-04-13 23:07:01:	epoch 1, global step:1, loss 0.0008 time:0.10
2019-04-13 23:07:01:	epoch 1 done, cost time:0.11
2019-04-13 23:07:01:	epoch 2, global step:2, loss 0.0007 time:0.03
2019-04-13 23:07:01:	epoch 2 done, cost time:0.13
2019-04-13 23:07:01:	epoch 3, global step:3, loss 0.0007 time:0.09
2019-04-13 23:07:01:	epoch 3 done, cost time:0.22
2019-04-13 23:07:01:	epoch 4, global step:4, loss 0.0007 time:0.04
2019-04-13 23:07:01:	epoch 4 done, cost time:0.27
2019-04-13 23:07:01:	epoch 5, global step:5, loss 0.0006 time:0.08
2019-04-13 23:07:01:	epoch 5 done, cost time:0.35
2019-04-13 23:07:01:	epoch 6, global step:6, loss 0.0006 time:0.05
2019-04-13 23:07:01:	epoch 6 done, cost time:0.40
2019-04-13 23:07:01:	epoch 7, global step:7, loss 0.0006 time:0.08
2019-04-13 23:07:01:	epoch 7 done, cost time:0.48
2019-04-13 23:07:01:	epoch 8, global step:8, loss 0.0006 time:0.05
2019-04-13 23:07:01:	epoch 8 done, cost time:0.52
2019-04-13 23:07:01:	epoch 9, global step:9, loss 0.0006 time:0.08
2019-04-13 23:07:01:	epoch 9 done, cost time:0.61
2019-04-13 23:07:01:	epoch 10, global step:10, loss 0.0006 time:0.04
2019-04-13 23:07:01:	epoch 10 done, cost time:0.65
2019-04-13 23:07:21:	epoch 1, global step:1, loss 0.0007 time:0.06
2019-04-13 23:07:21:	epoch 1 done, cost time:0.06
2019-04-13 23:07:21:	epoch 2, global step:2, loss 0.0007 time:0.09
2019-04-13 23:07:21:	epoch 2 done, cost time:0.15
2019-04-13 23:07:21:	epoch 3, global step:3, loss 0.0007 time:0.04
2019-04-13 23:07:21:	epoch 3 done, cost time:0.18
2019-04-13 23:07:21:	epoch 4, global step:4, loss 0.0006 time:0.09
2019-04-13 23:07:21:	epoch 4 done, cost time:0.28
2019-04-13 23:07:21:	epoch 5, global step:5, loss 0.0006 time:0.04
2019-04-13 23:07:21:	epoch 5 done, cost time:0.31
2019-04-13 23:07:21:	epoch 6, global step:6, loss 0.0006 time:0.09
2019-04-13 23:07:21:	epoch 6 done, cost time:0.41
2019-04-13 23:07:21:	epoch 7, global step:7, loss 0.0006 time:0.04
2019-04-13 23:07:21:	epoch 7 done, cost time:0.44
2019-04-13 23:07:21:	epoch 8, global step:8, loss 0.0006 time:0.09
2019-04-13 23:07:21:	epoch 8 done, cost time:0.53
2019-04-13 23:07:21:	epoch 9, global step:9, loss 0.0005 time:0.04
2019-04-13 23:07:21:	epoch 9 done, cost time:0.57
2019-04-13 23:07:21:	epoch 10, global step:10, loss 0.0005 time:0.09
2019-04-13 23:07:21:	epoch 10 done, cost time:0.67
2019-04-13 23:10:34:	epoch 1, global step:1, loss 0.0008, test auc:0.5117, time:0.85
2019-04-13 23:10:34:	epoch 1, global step:2, loss 0.0008, test auc:0.5122, time:0.40
2019-04-13 23:10:34:	epoch 1, global step:3, loss 0.0007, test auc:0.5129, time:0.35
2019-04-13 23:10:35:	epoch 1, global step:4, loss 0.0007, test auc:0.5126, time:0.38
